,입고,출고전_총재고,주문,총수요,출고량,부족재고,재고,총주문량
0,2,14,6,6,6,0,8,0
1,0,8,0,0,0,0,8,5
2,5,13,5,5,5,0,8,5
3,5,13,5,5,5,0,8,5
4,5,13,5,5,5,0,8,5
5,5,13,5,5,5,0,8,5
6,5,13,5,5,5,0,8,5
7,5,13,5,5,5,0,8,5
8,5,13,4,4,4,0,9,5
9,5,14,19,19,13,6,0,4
10,4,4,19,25,3,22,0,19
11,13,13,19,41,12,29,0,19
12,3,3,19,48,2,46,0,19
13,18,18,19,65,17,48,0,19
14,18,18,19,67,17,50,0,19
15,18,18,19,69,17,52,0,19
16,18,18,19,71,17,54,0,19
17,18,18,19,73,17,56,0,19
18,18,18,19,75,17,58,0,19
19,18,18,19,77,17,60,0,19
20,18,18,19,79,17,62,0,19
21,18,18,19,81,17,64,0,19
22,18,18,19,83,17,66,0,19
23,18,18,19,85,17,68,0,19
24,18,18,19,87,17,70,0,19
25,18,18,19,89,17,72,0,19
26,18,18,19,91,17,74,0,19
27,18,18,19,93,17,76,0,19
28,18,18,19,95,17,78,0,19
29,18,18,19,97,17,80,0,19
30,18,18,19,99,17,82,0,19
31,18,18,19,101,17,84,0,19
32,18,18,19,103,17,86,0,19
33,18,18,19,105,17,88,0,19
34,18,18,20,108,17,91,0,19
35,18,18,5,96,17,79,0,19
36,18,18,5,84,17,67,0,19
37,18,18,5,72,17,55,0,19
38,18,18,5,60,17,43,0,19
39,18,18,5,48,17,31,0,19
40,18,18,5,36,17,19,0,19
41,18,18,5,24,17,7,0,19
42,18,18,5,12,12,0,6,20
43,18,24,0,0,0,0,24,5
44,18,42,0,0,0,0,42,5
45,18,60,0,0,0,0,60,5
46,18,78,5,5,5,0,73,5
47,18,91,5,5,5,0,86,5
48,7,93,5,5,5,0,88,5
49,5,93,5,5,5,0,88,5
50,5,93,5,5,5,0,88,5
51,5,93,5,5,5,0,88,5
52,5,93,5,5,5,0,88,5
53,5,93,5,5,5,0,88,5
54,5,93,5,5,5,0,88,5
55,5,93,5,5,5,0,88,5
56,5,93,5,5,5,0,88,5
57,5,93,5,5,5,0,88,5
58,5,93,5,5,5,0,88,5
59,5,93,5,5,5,0,88,5
60,5,93,5,5,5,0,88,5
