,입고,출고전_총재고,주문,총수요,출고량,부족재고,재고,총주문량
0,2,14,1,1,1,0,13,0
1,0,13,0,0,0,0,13,5
2,5,18,5,5,5,0,13,5
3,5,18,5,5,5,0,13,5
4,5,18,5,5,5,0,13,5
5,5,18,5,5,5,0,13,5
6,5,18,5,5,5,0,13,5
7,5,18,5,5,5,0,13,5
8,5,18,5,5,5,0,13,5
9,5,18,5,5,5,0,13,5
10,5,18,4,4,4,0,14,0
11,0,14,19,19,13,6,0,4
12,4,4,19,25,3,22,0,19
13,19,19,19,41,18,23,0,19
14,19,19,19,42,18,24,0,19
15,19,19,19,43,18,25,0,19
16,19,19,19,44,18,26,0,19
17,19,19,19,45,18,27,0,19
18,19,19,19,46,18,28,0,19
19,19,19,19,47,18,29,0,19
20,19,19,19,48,18,30,0,19
21,19,19,19,49,18,31,0,19
22,19,19,19,50,18,32,0,19
23,19,19,19,51,18,33,0,19
24,19,19,19,52,18,34,0,19
25,19,19,19,53,18,35,0,19
26,19,19,19,54,18,36,0,19
27,19,19,19,55,18,37,0,19
28,19,19,19,56,18,38,0,19
29,19,19,19,57,18,39,0,19
30,19,19,19,58,18,40,0,19
31,19,19,19,59,18,41,0,19
32,19,19,19,60,18,42,0,19
33,19,19,19,61,18,43,0,19
34,19,19,19,62,18,44,0,19
35,19,19,19,63,18,45,0,19
36,19,19,19,64,18,46,0,19
37,19,19,19,65,18,47,0,19
38,19,19,19,66,18,48,0,19
39,19,19,19,67,18,49,0,19
40,19,19,19,68,18,50,0,19
41,19,19,19,69,18,51,0,19
42,19,19,19,70,18,52,0,19
43,19,19,20,72,18,54,0,19
44,19,19,5,59,18,41,0,19
45,19,19,5,46,18,28,0,19
46,19,19,5,33,18,15,0,19
47,19,19,5,20,18,2,0,19
48,19,19,5,7,7,0,12,15
49,15,27,5,5,5,0,22,5
50,5,27,5,5,5,0,22,5
51,5,27,5,5,5,0,22,5
52,5,27,5,5,5,0,22,5
53,5,27,5,5,5,0,22,5
54,5,27,5,5,5,0,22,5
55,5,27,5,5,5,0,22,5
56,5,27,5,5,5,0,22,5
57,5,27,5,5,5,0,22,5
58,5,27,5,5,5,0,22,5
59,5,27,5,5,5,0,22,5
60,5,27,5,5,5,0,22,5
