,입고,출고전_총재고,주문,총수요,출고량,부족재고,재고,총주문량
0,1,13,3,3,3,0,10,0
1,0,10,0,0,0,0,10,5
2,5,15,4,4,4,0,11,5
3,5,16,13,13,13,0,3,5
4,5,8,8,8,8,0,0,5
5,5,5,10,10,4,6,0,9
6,9,9,20,26,8,18,0,19
7,10,10,6,24,9,15,0,19
8,3,3,10,25,2,23,0,19
9,12,12,8,31,11,20,0,19
10,2,2,11,31,1,30,0,19
11,11,11,9,39,10,29,0,19
12,1,1,20,49,0,49,0,19
13,16,16,4,53,15,38,0,19
14,16,16,6,44,15,29,0,19
15,16,16,16,45,15,30,0,19
16,16,16,5,35,15,20,0,19
17,16,16,15,35,15,20,0,19
18,16,16,19,39,15,24,0,19
19,16,16,1,25,15,10,0,19
20,16,16,11,21,15,6,0,19
21,16,16,13,19,15,4,0,19
22,16,16,8,12,12,0,4,20
23,16,20,8,8,8,0,12,5
24,16,28,17,17,17,0,11,5
25,16,27,13,13,13,0,14,5
26,16,30,3,3,3,0,27,5
27,16,43,0,0,0,0,43,5
28,16,59,5,5,5,0,54,5
29,16,70,14,14,14,0,56,5
30,16,72,20,20,20,0,52,5
31,16,68,1,1,1,0,67,5
32,16,83,15,15,15,0,68,5
33,15,83,6,6,6,0,77,5
34,5,82,20,20,20,0,62,5
35,5,67,9,9,9,0,58,5
36,5,63,16,16,16,0,47,5
37,5,52,2,2,2,0,50,5
38,5,55,17,17,17,0,38,5
39,5,43,11,11,11,0,32,5
40,5,37,16,16,16,0,21,5
41,5,26,5,5,5,0,21,5
42,5,26,4,4,4,0,22,5
43,5,27,0,0,0,0,27,5
44,5,32,15,15,15,0,17,5
45,5,22,17,17,17,0,5,5
46,5,10,6,6,6,0,4,5
47,5,9,10,10,8,2,0,4
48,4,4,13,15,3,12,0,14
49,14,14,18,30,13,17,0,19
50,19,19,8,25,18,7,0,19
51,19,19,1,8,8,0,11,20
52,20,31,5,5,5,0,26,5
53,5,31,16,16,16,0,15,5
54,5,20,17,17,17,0,3,5
55,5,8,16,16,7,9,0,4
56,4,4,1,10,3,7,0,19
57,19,19,6,13,13,0,6,20
58,20,26,17,17,17,0,9,5
59,5,14,15,15,13,2,0,4
60,4,4,13,15,3,12,0,14
